Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
255400,sp,Medicago minima (L.) L.,Medicago,minima,Fabaceae,I,,,
255600,sp,Medicago orbicularis (L.) Bartal.,Medicago,orbicularis,Fabaceae,,x,,
255700,sp,Medicago polymorpha L.,Medicago,polymorpha,Fabaceae,N,,,
255800,sp,Medicago prostrata Jacq.,Medicago,prostrata,Fabaceae,,x,,
255900,sp,Medicago rigidula (L.) All.,Medicago,rigidula,Fabaceae,N,,,
256000,sp,Medicago sativa L.,Medicago,sativa,Fabaceae,A,,,
256100,hybrid,Medicago ×varia Martyn,Medicago,×varia,Fabaceae,I,,,
256200,sp,Melampyrum arvense L.,Melampyrum,arvense,Orobanchaceae,I,,,
256300,sp,Melampyrum cristatum L.,Melampyrum,cristatum,Orobanchaceae,I,,,
256400,sp,Melampyrum nemorosum L.,Melampyrum,nemorosum,Orobanchaceae,I,,,
256500,sp,Melampyrum pratense L.,Melampyrum,pratense,Orobanchaceae,I,,,
256600,sp,Melampyrum sylvaticum L.,Melampyrum,sylvaticum,Orobanchaceae,I,,,
256800,sp,Melica ciliata L.,Melica,ciliata,Poaceae,I,,,
256850,subsp (single),Melica ciliata L. subsp. ciliata,Melica,ciliata,Poaceae,I,,Melica ciliata L.,256800
256900,sp,Melica nutans L.,Melica,nutans,Poaceae,I,,,
257000,sp,Melica transsilvanica Schur,Melica,transsilvanica,Poaceae,I,,,
257100,sp,Melica uniflora Retz.,Melica,uniflora,Poaceae,I,,,
257200,sp,Melilotus albus Medik.,Melilotus,albus,Fabaceae,A,,,
257300,sp,Melilotus altissimus Thuill.,Melilotus,altissimus,Fabaceae,I,,,
257400,sp,Melilotus indicus (L.) All.,Melilotus,indicus,Fabaceae,N,,,
257500,sp,Melilotus neapolitanus Ten.,Melilotus,neapolitanus,Fabaceae,,x,,
257600,sp,Melilotus officinalis Lam.,Melilotus,officinalis,Fabaceae,A,,,
257700,sp,Melilotus sulcatus Desf.,Melilotus,sulcatus,Fabaceae,N,,,
257800,sp,Melissa officinalis L.,Melissa,officinalis,Lamiaceae,A,,,
257900,sp,Melittis melissophyllum L.,Melittis,melissophyllum,Lamiaceae,I,,,
258000,sp,Mentha aquatica L.,Mentha,aquatica,Lamiaceae,I,,,
258100,sp,Mentha arvensis L.,Mentha,arvensis,Lamiaceae,I,,,
258200,sp,Mentha longifolia (L.) Huds.,Mentha,longifolia,Lamiaceae,I,,,
258300,sp,Mentha pulegium L.,Mentha,pulegium,Lamiaceae,I,,,
258500,sp,Mentha spicata L.,Mentha,spicata,Lamiaceae,AC,,Mentha spicata aggr.,258550
258550,aggr,Mentha spicata aggr.,Mentha,spicata,Lamiaceae,I/N,,,
258600,sp,Mentha suaveolens Ehrh.,Mentha,suaveolens,Lamiaceae,I,,Mentha spicata aggr.,258550
258700,hybrid,Mentha ×piperita L.,Mentha,×piperita,Lamiaceae,N,,Mentha spicata aggr.,258550
258750,hybrid,Mentha ×verticillata L.,Mentha,×verticillata,Lamiaceae,I,,,
258770,hybrid,Mentha ×villosa Huds.,Mentha,×villosa,Lamiaceae,I,,Mentha spicata aggr.,258550
258800,sp,Menyanthes trifoliata L.,Menyanthes,trifoliata,Menyanthaceae,I,,,
258900,sp,Mercurialis annua L.,Mercurialis,annua,Euphorbiaceae,A,,,
259000,sp,Mercurialis ovata Sternb. & Hoppe,Mercurialis,ovata,Euphorbiaceae,I,,,
259100,sp,Mercurialis perennis L.,Mercurialis,perennis,Euphorbiaceae,I,,,
259200,sp,Mespilus germanica L.,Mespilus,germanica,Rosaceae,A,,,
259300,sp,Meum athamanticum Jacq.,Meum,athamanticum,Apiaceae,I,,,
259400,sp,Mibora minima (L.) Desv.,Mibora,minima,Poaceae,,x,,
259500,sp,Micropus erectus L.,Micropus,erectus,Asteraceae,I,,,
259600,sp,Micropyrum tenellum (L.) Link,Micropyrum,tenellum,Poaceae,I,,,
259800,sp,Milium effusum L.,Milium,effusum,Poaceae,I,,,
259830,subsp,Milium effusum L. subsp. effusum,Milium,effusum,Poaceae,I,,Milium effusum L.,259800
259860,subsp,Milium effusum subsp. alpicola Chrtek,Milium,effusum,Poaceae,I,,Milium effusum L.,259800
259900,sp,Mimulus guttatus DC.,Mimulus,guttatus,Phrymaceae,N,,Mimulus guttatus aggr.,259920
259920,aggr,Mimulus guttatus aggr.,Mimulus,guttatus,Phrymaceae,N,,,
259950,sp,Mimulus luteus L.,Mimulus,luteus,Phrymaceae,N,,Mimulus guttatus aggr.,259920
260000,sp,Mimulus moschatus Lindl.,Mimulus,moschatus,Phrymaceae,N,,Mimulus guttatus aggr.,259920
260200,sp,Minuartia austriaca (Jacq.) Hayek,Minuartia,austriaca,Caryophyllaceae,,x,,
260300,sp,Minuartia biflora (L.) Schinz & Thell.,Minuartia,biflora,Caryophyllaceae,I,,,
260400,sp,Minuartia capillacea (All.) Graebn.,Minuartia,capillacea,Caryophyllaceae,I,,,
260495,sp,Minuartia cherlerioides (Hoppe) Bech.,Minuartia,cherlerioides,Caryophyllaceae,I,,,
260500,subsp,Minuartia cherlerioides (Hoppe) Bech. subsp. cherlerioides,Minuartia,cherlerioides,Caryophyllaceae,,x,Minuartia cherlerioides (Hoppe) Bech.,260495
260600,subsp,Minuartia cherlerioides subsp. rionii (Gremli) Friedrich,Minuartia,cherlerioides,Caryophyllaceae,I,,Minuartia cherlerioides (Hoppe) Bech.,260495
260900,sp,Minuartia grignensis (Rchb.) Mattf.,Minuartia,grignensis,Caryophyllaceae,,x,,
261100,sp,Minuartia hybrida (Vill.) Schischk.,Minuartia,hybrida,Caryophyllaceae,I,,,
261200,sp,Minuartia laricifolia (L.) Schinz & Thell.,Minuartia,laricifolia,Caryophyllaceae,I,,,
261250,subsp (single),Minuartia laricifolia (L.) Schinz & Thell. subsp. laricifolia,Minuartia,laricifolia,Caryophyllaceae,I,,Minuartia laricifolia (L.) Schinz & Thell.,261200
261400,sp,Minuartia recurva (All.) Schinz & Thell.,Minuartia,recurva,Caryophyllaceae,I,,,
261450,sp,Minuartia rostrata (Pers.) Rchb.,Minuartia,rostrata,Caryophyllaceae,I,,,
261500,sp,Minuartia rubra (Scop.) McNeill,Minuartia,rubra,Caryophyllaceae,I,,,
261600,sp,Minuartia rupestris (Scop.) Schinz & Thell.,Minuartia,rupestris,Caryophyllaceae,I,,,
261630,subsp,Minuartia rupestris (Scop.) Schinz & Thell. subsp. rupestris,Minuartia,rupestris,Caryophyllaceae,I,,Minuartia rupestris (Scop.) Schinz & Thell.,261600
261660,subsp,Minuartia rupestris subsp. clementei (Huter) Greuter & Burdet,Minuartia,rupestris,Caryophyllaceae,,x,Minuartia rupestris (Scop.) Schinz & Thell.,261600
261700,sp,Minuartia sedoides (L.) Hiern,Minuartia,sedoides,Caryophyllaceae,I,,,
261900,sp,Minuartia stricta (Sw.) Hiern,Minuartia,stricta,Caryophyllaceae,I,,,
262000,sp,Minuartia verna (L.) Hiern,Minuartia,verna,Caryophyllaceae,I,,,
262050,subsp (single),Minuartia verna (L.) Hiern subsp. verna,Minuartia,verna,Caryophyllaceae,I,,Minuartia verna (L.) Hiern,262000
262100,sp,Minuartia villarii (Balb.) Wilczek & Chenevard,Minuartia,villarii,Caryophyllaceae,,x,,
262200,sp,Minuartia viscosa (Schreb.) Schinz & Thell.,Minuartia,viscosa,Caryophyllaceae,I,,,
262230,sp,Mirabilis jalapa L.,Mirabilis,jalapa,Nyctaginaceae,N,,,
262240,sp,Miscanthus sacchariflorus (Maxim.) Hack.,Miscanthus,sacchariflorus,Poaceae,NC,,,
262250,sp,Miscanthus sinensis Andersson,Miscanthus,sinensis,Poaceae,NC,,,
262300,sp,Misopates orontium (L.) Raf.,Misopates,orontium,Plantaginaceae,A,,,
262330,sp,Moehringia bavarica (L.) Gren.,Moehringia,bavarica,Caryophyllaceae,,x,,
262400,subsp (single),Moehringia bavarica subsp. insubrica (Degen) W. Sauer,Moehringia,bavarica,Caryophyllaceae,,x,Moehringia bavarica (L.) Gren.,262330
262500,sp,Moehringia ciliata (Scop.) Dalla Torre,Moehringia,ciliata,Caryophyllaceae,I,,,
262600,sp,Moehringia concarenae F. Fen. & F. Martini,Moehringia,concarenae,Caryophyllaceae,,x,,
262700,sp,Moehringia dielsiana Mattf.,Moehringia,dielsiana,Caryophyllaceae,,x,,
262900,sp,Moehringia muscosa L.,Moehringia,muscosa,Caryophyllaceae,I,,,
263000,sp,Moehringia trinervia (L.) Clairv.,Moehringia,trinervia,Caryophyllaceae,I,,,
263100,sp,Moenchia erecta (L.) G. Gaertn. & al.,Moenchia,erecta,Caryophyllaceae,I,,,
263200,sp,Moenchia mantica (L.) Bartl.,Moenchia,mantica,Caryophyllaceae,I,,,
263300,sp,Molinia arundinacea Schrank,Molinia,arundinacea,Poaceae,I,,,
263400,sp,Molinia caerulea (L.) Moench,Molinia,caerulea,Poaceae,I,,,
263550,sp,Mollugo verticillata L.,Mollugo,verticillata,Molluginaceae,N,,,
263600,sp,Molopospermum peloponnesiacum (L.) W. D. J. Koch,Molopospermum,peloponnesiacum,Apiaceae,I,,,
263700,sp,Moneses uniflora (L.) A. Gray,Moneses,uniflora,Ericaceae,I,,,
263800,sp,Monotropa hypophegea Wallr.,Monotropa,hypophegea,Ericaceae,I,,Monotropa hypopitys aggr.,264000
263900,sp,Monotropa hypopitys L.,Monotropa,hypopitys,Ericaceae,I,,Monotropa hypopitys aggr.,264000
264000,aggr,Monotropa hypopitys aggr.,Monotropa,hypopitys,Ericaceae,i,,,
264095,sp,Montia fontana L.,Montia,fontana,Montiaceae,i/A,,,
264099,subsp,Montia fontana L. subsp. fontana,Montia,fontana,Montiaceae,I,,Montia fontana L.,264095
264200,subsp,Montia fontana subsp. amporitana Sennen,Montia,fontana,Montiaceae,I,,Montia fontana L.,264095
264300,subsp,Montia fontana subsp. chondrosperma (Fenzl) Walters,Montia,fontana,Montiaceae,A,,Montia fontana L.,264095
264800,sp,Morus alba L.,Morus,alba,Moraceae,N,,,
